2025-11-30 13:17:44 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 13:23:05 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 14:23:31 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 17:08:59 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 17:15:11 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 17:15:11 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 17:15:11 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 17:15:11 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 17:15:11 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 17:15:11 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 20:34:35 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 20:34:35 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 20:34:37 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 21:18:44 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 21:26:50 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 21:26:58 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 21:36:33 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 21:39:51 - PHP Unknown:  version_compare(): Passing null to parameter #2 ($version2) of type string is deprecated in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/omniva_m/src/Helper.php on line 56
2025-11-30 21:39:56 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 21:39:56 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 21:39:56 - PHP Warning:  mysqli::query(): (HY000/2006): MySQL server has gone away in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/db/mysqli.php on line 25
2025-11-30 21:40:09 - PHP Unknown:  version_compare(): Passing null to parameter #2 ($version2) of type string is deprecated in /home/admin/web/xn--skrynel-z8a.lt/public_html/system/library/omniva_m/src/Helper.php on line 56
2025-11-30 21:43:47 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 21:50:07 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 22:16:27 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 22:28:50 - PHP Warning:  realpath(): open_basedir restriction in effect. File(/home/admin/web/xn--skrynel-z8a.lt) is not within the allowed path(s): (/home/admin/.composer:/home/admin/web/xn--skrynel-z8a.lt/public_html:/home/admin/web/xn--skrynel-z8a.lt/private:/home/admin/web/xn--skrynel-z8a.lt/public_shtml:/home/admin/tmp:/tmp:/bin:/usr/bin:/usr/local/bin:/usr/share:/opt) in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 26
2025-11-30 22:48:12 - PHP Warning:  mkdir(): Permission denied in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 94
2025-11-30 22:48:12 - PHP Warning:  mkdir(): Permission denied in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/cache/cache.catalog.language.1764545047): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/cache/cache.country.catalog.1764543816): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/cache/cache.currency.1764545047): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/cache/cache.stock_status.2.1764543293): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/cache/cache.store.1764546414): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/cache/cache.zone.123.1764543817): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/cache/index.html): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/download/index.html): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/download/omniva_m_terminals.json): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/download/omniva_m_terminals.json_EE): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/download/omniva_m_terminals.json_FI): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/download/omniva_m_terminals.json_LT): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/download/omniva_m_terminals.json_LV): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/logs/error.log): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/logs/index.html): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/logs/ocmod.log): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/logs/ocmod_error.log): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/modification/index.html): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  mkdir(): No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 102
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/index.html): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_0c31783366e6f1861c233b2f37): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_12967378f69382637738cd8405): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_12d0c26a5947bec8f34b6473f7): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_1f86aa9b63e0853d976392842f): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_2b5dab57d65b58c4fc46c913d6): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_2bfddc5502ce5ca786822fff85): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_4150f9c3a46974a294bb278685): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_5ade17cf5cd54cac17d75f263b): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_5c9fc15e6f67be12969d007682): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_60f472024b9c5415607aeec2cc): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
2025-11-30 22:48:12 - PHP Warning:  copy(/home/admin/web/storage/session/sess_6ebe8169b8093ac8f4790b69f3): Failed to open stream: No such file or directory in /home/admin/web/xn--skrynel-z8a.lt/public_html/admin/controller/common/security.php on line 106
